,남녀비율가중
305,112.165
306,112.165
307,112.165
308,112.165
309,112.165
310,112.165
311,112.165
312,112.165
313,112.165
314,112.165
315,112.165
316,112.165
317,112.165
318,112.165
319,112.165
320,112.165
321,112.165
322,112.165
323,112.165
324,112.165
325,112.165
326,112.165
327,112.165
328,112.165
329,112.165
330,112.165
331,112.165
332,112.165
333,112.165
334,112.165
335,112.165
336,112.165
337,112.165
338,112.165
339,112.165
340,112.165
341,112.165
342,112.165
343,112.165
344,112.165
345,112.165
346,112.165
347,112.165
348,112.165
349,112.165
350,112.165
351,112.165
352,112.165
353,112.165
354,112.165
355,112.165
356,112.165
357,112.165
358,112.165
359,112.165
360,112.165
361,112.165
362,112.165
363,112.165
364,112.165
365,112.165
366,112.165
367,112.165
368,112.165
369,112.165
370,112.165
371,112.165
372,112.165
373,112.165
374,112.165
375,112.165
376,112.165
377,112.165
378,112.165
379,112.165
380,112.165
381,112.165
382,112.165
383,112.165
384,112.165
385,112.165
386,112.165
387,112.165
388,112.165
389,112.165
390,112.165
391,112.165
392,112.165
393,112.165
394,112.165
395,112.165
396,112.165
397,112.165
398,112.165
399,112.165
400,112.165
401,112.165
402,112.165
403,112.165
404,112.165
405,112.165
406,112.165
407,112.165
408,112.165
409,112.165
410,112.165
411,112.165
412,112.165
413,112.165
414,112.165
415,112.165
416,112.165
417,112.165
418,112.165
419,112.165
420,112.165
421,112.165
422,112.165
423,112.165
424,112.165
425,112.165
426,112.165
427,112.165
428,112.165
429,112.165
430,112.165
431,112.165
432,112.165
433,112.165
434,112.165
435,112.165
436,112.165
437,112.165
438,112.165
439,112.165
440,112.165
441,112.165
442,112.165
443,112.165
444,112.165
445,112.165
446,112.165
447,112.165
448,112.165
449,112.165
450,112.165
451,112.165
452,112.165
453,112.165
454,112.165
455,112.165
456,112.165
457,112.165
458,112.165
459,112.165
460,112.165
461,112.165
462,112.165
463,112.165
464,112.165
465,112.165
466,112.165
467,112.165
468,112.165
469,112.165
470,112.165
471,112.165
472,112.165
473,112.165
474,112.165
475,112.165
476,112.165
477,112.165
478,112.165
479,112.165
480,112.165
481,112.165
482,112.165
483,112.165
484,112.165
485,112.165
486,112.165
487,112.165
488,112.165
489,112.165
490,112.165
491,112.165
492,112.165
493,112.165
494,112.165
495,112.165
496,112.165
497,112.165
498,112.165
499,112.165
500,112.165
501,112.165
502,112.165
503,112.165
504,112.165
505,112.165
506,112.165
507,112.165
508,112.165
509,112.165
510,112.165
511,112.165
512,112.165
513,112.165
514,112.165
515,112.165
516,112.165
517,112.165
518,112.165
519,112.165
520,112.165
521,112.165
522,112.165
523,112.165
524,112.165
525,112.165
526,112.165
527,112.165
528,112.165
529,112.165
530,112.165
531,112.165
532,112.165
533,112.165
534,112.165
535,112.165
536,112.165
537,112.165
538,112.165
539,112.165
540,112.165
541,112.165
542,112.165
543,112.165
544,112.165
545,112.165
546,112.165
547,112.165
548,112.165
549,112.165
550,112.165
551,112.165
552,112.165
553,112.165
554,112.165
555,112.165
556,112.165
557,112.165
558,112.165
559,112.165
560,112.165
561,112.165
562,112.165
563,112.165
564,112.165
565,112.165
566,112.165
567,112.165
568,112.165
569,112.165
570,112.165
571,112.165
572,112.165
573,112.165
574,112.165
575,112.165
576,112.165
577,112.165
578,112.165
579,112.165
580,112.165
581,112.165
582,112.165
583,112.165
584,112.165
585,112.165
586,112.165
587,112.165
588,112.165
589,112.165
590,112.165
591,112.165
592,112.165
593,112.165
594,112.165
595,112.165
596,112.165
597,112.165
598,112.165
599,112.165
600,112.165
601,112.165
602,112.165
603,112.165
604,112.165
605,112.165
606,112.165
607,112.165
608,112.165
609,112.165
610,112.165
611,112.165
612,112.165
613,112.165
614,112.165
615,112.165
616,112.165
617,112.165
618,112.165
619,112.165
620,112.165
621,112.165
622,112.165
623,112.165
624,112.165
625,112.165
626,112.165
627,112.165
628,112.165
629,112.165
630,112.165
631,112.165
632,112.165
633,112.165
634,112.165
635,112.165
636,112.165
637,112.165
638,112.165
639,112.165
640,112.165
641,112.165
642,112.165
643,112.165
644,112.165
645,112.165
646,112.165
647,112.165
648,112.165
649,112.165
650,112.165
651,112.165
652,112.165
653,112.165
654,112.165
655,112.165
656,112.165
657,112.165
658,112.165
659,112.165
660,112.165
661,112.165
662,112.165
663,112.165
664,112.165
665,112.165
666,112.165
667,112.165
668,112.165
669,112.165
670,112.165
671,112.165
672,112.165
673,112.165
674,112.165
675,112.165
676,112.165
677,112.165
678,112.165
679,112.165
680,112.165
681,112.165
682,112.165
683,112.165
684,112.165
685,112.165
686,112.165
687,112.165
688,112.165
689,112.165
690,112.165
691,112.165
692,112.165
693,112.165
694,112.165
695,112.165
696,112.165
697,112.165
698,112.165
699,112.165
700,112.165
701,112.165
702,112.165
703,112.165
704,112.165
705,112.165
706,112.165
707,112.165
708,112.165
709,112.165
710,112.165
711,112.165
712,112.165
713,112.165
714,112.165
715,112.165
716,112.165
717,112.165
718,112.165
719,112.165
720,112.165
721,112.165
722,112.165
723,112.165
724,112.165
725,112.165
726,112.165
727,112.165
728,112.165
729,112.165
730,112.165
731,112.165
732,112.165
733,112.165
734,112.165
735,112.165
736,112.165
737,112.165
738,112.165
739,112.165
740,112.165
741,112.165
742,112.165
743,112.165
744,112.165
745,112.165
746,112.165
747,112.165
748,112.165
749,112.165
750,112.165
751,112.165
752,112.165
753,112.165
754,112.165
755,112.165
756,112.165
757,112.165
758,112.165
759,112.165
760,112.165
761,112.165
762,112.165
763,112.165
764,112.165
765,112.165
766,112.165
767,112.165
768,112.165
769,112.165
770,112.165
771,112.165
772,112.165
773,112.165
774,112.165
775,112.165
776,112.165
777,112.165
778,112.165
779,112.165
780,112.165
781,112.165
782,112.165
783,112.165
784,112.165
785,112.165
786,112.165
787,112.165
788,112.165
789,112.165
790,112.165
791,112.165
792,112.165
793,112.165
794,112.165
795,112.165
796,112.165
797,112.165
798,112.165
799,112.165
800,112.165
801,112.165
802,112.165
803,112.165
804,112.165
805,112.165
806,112.165
807,112.165
808,112.165
809,112.165
810,112.165
811,112.165
812,112.165
813,112.165
814,112.165
815,112.165
816,112.165
817,112.165
818,112.165
819,112.165
820,112.165
821,112.165
822,112.165
823,112.165
824,112.165
825,112.165
826,112.165
827,112.165
828,112.165
829,112.165
830,112.165
831,112.165
832,112.165
833,112.165
834,112.165
835,112.165
836,112.165
837,112.165
838,112.165
839,112.165
840,112.165
841,112.165
842,112.165
843,112.165
844,112.165
845,112.165
846,112.165
847,112.165
848,112.165
849,112.165
850,112.165
851,112.165
852,112.165
853,112.165
854,112.165
855,112.165
856,112.165
857,112.165
858,112.165
859,112.165
860,112.165
861,112.165
862,112.165
863,112.165
864,112.165
865,112.165
866,112.165
867,112.165
868,112.165
869,112.165
870,112.165
871,112.165
872,112.165
873,112.165
874,112.165
875,112.165
876,112.165
877,112.165
878,112.165
879,112.165
880,112.165
881,112.165
882,112.165
883,112.165
884,112.165
885,112.165
886,112.165
887,112.165
888,112.165
889,112.165
890,112.165
891,112.165
892,112.165
893,112.165
894,112.165
895,112.165
896,112.165
897,112.165
898,112.165
899,112.165
900,112.165
901,112.165
902,112.165
903,112.165
904,112.165
905,112.165
906,112.165
907,112.165
908,112.165
909,112.165
910,112.165
911,112.165
912,112.165
913,112.165
914,112.165
915,112.165
916,112.165
917,112.165
918,112.165
919,112.165
920,112.165
921,112.165
922,112.165
923,112.165
924,112.165
925,112.165
926,112.165
927,112.165
928,112.165
929,112.165
930,112.165
931,112.165
932,112.165
933,112.165
934,112.165
935,112.165
936,112.165
937,112.165
938,112.165
939,112.165
940,112.165
941,112.165
942,112.165
943,112.165
944,112.165
945,112.165
946,112.165
947,112.165
948,112.165
949,112.165
950,112.165
951,112.165
952,112.165
953,112.165
954,112.165
955,112.165
956,112.165
957,112.165
958,112.165
959,112.165
960,112.165
961,112.165
962,112.165
963,112.165
964,112.165
965,112.165
966,112.165
967,112.165
968,112.165
969,112.165
970,112.165
971,112.165
972,112.165
973,112.165
974,112.165
975,112.165
976,112.165
977,112.165
978,112.165
979,112.165
980,112.165
981,112.165
982,112.165
983,112.165
984,112.165
985,112.165
986,112.165
987,112.165
988,112.165
989,112.165
990,112.165
991,112.165
992,112.165
993,112.165
994,112.165
995,112.165
996,112.165
997,112.165
998,112.165
999,112.165
1000,112.165
1001,112.165
1002,112.165
1003,112.165
1004,112.165
1005,112.165
1006,112.165
1007,112.165
1008,112.165
1009,112.165
1010,112.165
1011,112.165
1012,112.165
1013,112.165
1014,112.165
1015,112.165
1016,112.165
1017,112.165
1018,112.165
1019,112.165
1020,112.165
1021,112.165
1022,112.165
1023,112.165
1024,112.165
1025,112.165
1026,112.165
1027,112.165
1028,112.165
1029,112.165
1030,112.165
1031,112.165
1032,112.165
1033,112.165
1034,112.165
1035,112.165
1036,112.165
1037,112.165
1038,112.165
1039,112.165
1040,112.165
1041,112.165
1042,112.165
1043,112.165
1044,112.165
1045,112.165
1046,112.165
1047,112.165
1048,112.165
1049,112.165
1050,112.165
1051,112.165
1052,112.165
1053,112.165
1054,112.165
1055,112.165
1056,112.165
1057,112.165
1058,112.165
1059,112.165
1060,112.165
1061,112.165
1062,112.165
1063,112.165
1064,112.165
1065,112.165
1066,112.165
1067,112.165
1068,112.165
1069,112.165
1070,112.165
1071,112.165
1072,112.165
1073,112.165
1074,112.165
1075,112.165
1076,112.165
1077,112.165
1078,112.165
1079,112.165
1080,112.165
1081,112.165
1082,112.165
1083,112.165
1084,112.165
1085,112.165
1086,112.165
1087,112.165
1088,112.165
1089,112.165
1090,112.165
1091,112.165
1092,112.165
1093,112.165
1094,112.165
1095,112.165
1096,112.165
1097,112.165
1098,112.165
1099,112.165
1100,112.165
1101,112.165
1102,112.165
1103,112.165
1104,112.165
1105,112.165
1106,112.165
1107,112.165
1108,112.165
1109,112.165
1110,112.165
1111,112.165
1112,112.165
1113,112.165
1114,112.165
1115,112.165
1116,112.165
1117,112.165
1118,112.165
1119,112.165
1120,112.165
1121,112.165
1122,112.165
1123,112.165
1124,112.165
1125,112.165
1126,112.165
1127,112.165
1128,112.165
1129,112.165
1130,112.165
1131,112.165
1132,112.165
1133,112.165
1134,112.165
1135,112.165
1136,112.165
1137,112.165
1138,112.165
1139,112.165
1140,112.165
1141,112.165
1142,112.165
1143,112.165
1144,112.165
1145,112.165
1146,112.165
1147,112.165
1148,112.165
1149,112.165
1150,112.165
1151,112.165
1152,112.165
1153,112.165
1154,112.165
1155,112.165
1156,112.165
1157,112.165
1158,112.165
1159,112.165
1160,112.165
1161,112.165
1162,112.165
1163,112.165
1164,112.165
1165,112.165
1166,112.165
1167,112.165
1168,112.165
1169,112.165
1170,112.165
1171,112.165
1172,112.165
1173,112.165
1174,112.165
1175,112.165
1176,112.165
1177,112.165
1178,112.165
1179,112.165
1180,112.165
1181,112.165
1182,112.165
1183,112.165
1184,112.165
1185,112.165
1186,112.165
1187,112.165
1188,112.165
1189,112.165
1190,112.165
1191,112.165
1192,112.165
1193,112.165
1194,112.165
1195,112.165
1196,112.165
1197,112.165
1198,112.165
1199,112.165
1200,112.165
1201,112.165
1202,112.165
1203,112.165
1204,112.165
1205,112.165
1206,112.165
1207,112.165
1208,112.165
1209,112.165
1210,112.165
1211,112.165
1212,112.165
1213,112.165
1214,112.165
1215,112.165
1216,112.165
1217,112.165
1218,112.165
1219,112.165
1220,112.165
1221,112.165
1222,112.165
1223,112.165
1224,112.165
1225,112.165
1226,112.165
1227,112.165
1228,112.165
1229,112.165
1230,112.165
1231,112.165
1232,112.165
1233,112.165
1234,112.165
1235,112.165
1236,112.165
1237,112.165
1238,112.165
1239,112.165
1240,112.165
1241,112.165
1242,112.165
1243,112.165
1244,112.165
1245,112.165
1246,112.165
1247,112.165
1248,112.165
1249,112.165
1250,112.165
1251,112.165
1252,112.165
1253,112.165
1254,112.165
1255,112.165
1256,112.165
1257,112.165
1258,112.165
1259,112.165
1260,112.165
1261,112.165
1262,112.165
1263,112.165
1264,112.165
1265,112.165
1266,112.165
1267,112.165
1268,112.165
1269,112.165
1270,112.165
1271,112.165
1272,112.165
1273,112.165
1274,112.165
1275,112.165
1276,112.165
1277,112.165
1278,112.165
1279,112.165
1280,112.165
1281,112.165
1282,112.165
1283,112.165
1284,112.165
1285,112.165
1286,112.165
1287,112.165
1288,112.165
1289,112.165
1290,112.165
1291,112.165
1292,112.165
1293,112.165
1294,112.165
1295,112.165
1296,112.165
1297,112.165
1298,112.165
1299,112.165
1300,112.165
1301,112.165
1302,112.165
1303,112.165
1304,112.165
1305,112.165
1306,112.165
1307,112.165
1308,112.165
1309,112.165
1310,112.165
1311,112.165
1312,112.165
1313,112.165
1314,112.165
1315,112.165
1316,112.165
1317,112.165
1318,112.165
1319,112.165
1320,112.165
1321,112.165
1322,112.165
1323,112.165
1324,112.165
1325,112.165
1326,112.165
1327,112.165
1328,112.165
1329,112.165
1330,112.165
1331,112.165
1332,112.165
1333,112.165
1334,112.165
1335,112.165
1336,112.165
1337,112.165
1338,112.165
1339,112.165
1340,112.165
1341,112.165
1342,112.165
1343,112.165
1344,112.165
1345,112.165
1346,112.165
1347,112.165
1348,112.165
1349,112.165
1350,112.165
1351,112.165
1352,112.165
1353,112.165
1354,112.165
1355,112.165
1356,112.165
1357,112.165
1358,112.165
1359,112.165
1360,112.165
1361,112.165
1362,112.165
1363,112.165
1364,112.165
1365,112.165
1366,112.165
1367,112.165
1368,112.165
1369,112.165
1370,112.165
1371,112.165
1372,112.165
1373,112.165
1374,112.165
1375,112.165
1376,112.165
1377,112.165
1378,112.165
1379,112.165
1380,112.165
1381,112.165
1382,112.165
1383,112.165
1384,112.165
1385,112.165
1386,112.165
1387,112.165
1388,112.165
1389,112.165
1390,112.165
1391,112.165
1392,112.165
1393,112.165
1394,112.165
1395,112.165
1396,112.165
1397,112.165
1398,112.165
1399,112.165
1400,112.165
1401,112.165
1402,112.165
1403,112.165
1404,112.165
1405,112.165
1406,112.165
1407,112.165
1408,112.165
1409,112.165
1410,112.165
1411,112.165
1412,112.165
1413,112.165
1414,112.165
1415,112.165
1416,112.165
1417,112.165
1418,112.165
1419,112.165
1420,112.165
1421,112.165
1422,112.165
1423,112.165
1424,112.165
1425,112.165
1426,112.165
1427,112.165
1428,112.165
1429,112.165
1430,112.165
1431,112.165
1432,112.165
1433,112.165
1434,112.165
1435,112.165
1436,112.165
1437,112.165
1438,112.165
1439,112.165
1440,112.165
1441,112.165
1442,112.165
1443,112.165
1444,112.165
1445,112.165
1446,112.165
1447,112.165
1448,112.165
1449,112.165
1450,112.165
1451,112.165
1452,112.165
1453,112.165
1454,112.165
1455,112.165
1456,112.165
1457,112.165
1458,112.165
1459,112.165
1460,112.165
1461,112.165
1462,112.165
1463,112.165
1464,112.165
1465,112.165
1466,112.165
1467,112.165
1468,112.165
1469,112.165
1470,112.165
1471,112.165
1472,112.165
1473,112.165
1474,112.165
1475,112.165
1476,112.165
1477,112.165
1478,112.165
1479,112.165
1480,112.165
1481,112.165
1482,112.165
1483,112.165
1484,112.165
1485,112.165
1486,112.165
1487,112.165
1488,112.165
1489,112.165
1490,112.165
1491,112.165
1492,112.165
1493,112.165
1494,112.165
1495,112.165
1496,112.165
1497,112.165
1498,112.165
1499,112.165
1500,112.165
1501,112.165
1502,112.165
1503,112.165
1504,112.165
1505,112.165
1506,112.165
1507,112.165
1508,112.165
1509,112.165
1510,112.165
1511,112.165
1512,112.165
1513,112.165
1514,112.165
1515,112.165
1516,112.165
1517,112.165
1518,112.165
1519,112.165
1520,112.165
1521,112.165
1522,112.165
1523,112.165
1524,112.165
1525,112.165
1526,112.165
1527,112.165
1528,112.165
1529,112.165
1530,112.165
1531,112.165
1532,112.165
1533,112.165
1534,112.165
1535,112.165
1536,112.165
1537,112.165
1538,112.165
1539,112.165
1540,112.165
1541,112.165
1542,112.165
1543,112.165
1544,112.165
1545,112.165
1546,112.165
1547,112.165
1548,112.165
1549,112.165
1550,112.165
1551,112.165
1552,112.165
1553,112.165
1554,112.165
1555,112.165
1556,112.165
1557,112.165
1558,112.165
1559,112.165
1560,112.165
1561,112.165
1562,112.165
1563,112.165
1564,112.165
1565,112.165
1566,112.165
1567,112.165
1568,112.165
1569,112.165
1570,112.165
1571,112.165
1572,112.165
1573,112.165
1574,112.165
1575,112.165
1576,112.165
1577,112.165
1578,112.165
1579,112.165
1580,112.165
1581,112.165
1582,112.165
1583,112.165
1584,112.165
1585,112.165
1586,112.165
1587,112.165
1588,112.165
1589,112.165
1590,112.165
1591,112.165
1592,112.165
1593,112.165
1594,112.165
1595,112.165
1596,112.165
1597,112.165
1598,112.165
1599,112.165
1600,112.165
1601,112.165
1602,112.165
1603,112.165
1604,112.165
1605,112.165
1606,112.165
1607,112.165
1608,112.165
1609,112.165
1610,112.165
1611,112.165
1612,112.165
1613,112.165
1614,112.165
1615,112.165
1616,112.165
1617,112.165
1618,112.165
1619,112.165
1620,112.165
1621,112.165
1622,112.165
1623,112.165
1624,112.165
1625,112.165
1626,112.165
1627,112.165
1628,112.165
1629,112.165
1630,112.165
1631,112.165
1632,112.165
1633,112.165
1634,112.165
1635,112.165
1636,112.165
1637,112.165
1638,112.165
1639,112.165
1640,112.165
1641,112.165
1642,112.165
1643,112.165
1644,112.165
1645,112.165
1646,112.165
1647,112.165
1648,112.165
1649,112.165
1650,112.165
1651,112.165
1652,112.165
1653,112.165
1654,112.165
1655,112.165
1656,112.165
1657,112.165
1658,112.165
1659,112.165
1660,112.165
1661,112.165
1662,112.165
1663,112.165
1664,112.165
1665,112.165
1666,112.165
1667,112.165
1668,112.165
1669,112.165
1670,112.165
1671,112.165
1672,112.165
1673,112.165
1674,112.165
1675,112.165
1676,112.165
1677,112.165
1678,112.165
1679,112.165
1680,112.165
1681,112.165
1682,112.165
1683,112.165
1684,112.165
1685,112.165
1686,112.165
1687,112.165
1688,112.165
1689,112.165
1690,112.165
1691,112.165
1692,112.165
1693,112.165
1694,112.165
1695,112.165
1696,112.165
1697,112.165
1698,112.165
1699,112.165
1700,112.165
1701,112.165
1702,112.165
1703,112.165
1704,112.165
1705,112.165
1706,112.165
1707,112.165
1708,112.165
1709,112.165
1710,112.165
1711,112.165
1712,112.165
1713,112.165
1714,112.165
1715,112.165
1716,112.165
1717,112.165
1718,112.165
1719,112.165
1720,112.165
1721,112.165
1722,112.165
1723,112.165
1724,112.165
1725,112.165
1726,112.165
1727,112.165
1728,112.165
1729,112.165
1730,112.165
1731,112.165
1732,112.165
1733,112.165
1734,112.165
1735,112.165
1736,112.165
1737,112.165
1738,112.165
1739,112.165
1740,112.165
1741,112.165
1742,112.165
1743,112.165
1744,112.165
1745,112.165
1746,112.165
1747,112.165
1748,112.165
1749,112.165
1750,112.165
1751,112.165
1752,112.165
1753,112.165
1754,112.165
1755,112.165
1756,112.165
1757,112.165
1758,112.165
1759,112.165
1760,112.165
1761,112.165
1762,112.165
1763,112.165
1764,112.165
1765,112.165
1766,112.165
1767,112.165
1768,112.165
1769,112.165
1770,112.165
1771,112.165
1772,112.165
1773,112.165
1774,112.165
1775,112.165
1776,112.165
1777,112.165
1778,112.165
1779,112.165
1780,112.165
1781,112.165
1782,112.165
1783,112.165
1784,112.165
1785,112.165
1786,112.165
1787,112.165
1788,112.165
1789,112.165
1790,112.165
1791,112.165
1792,112.165
1793,112.165
1794,112.165
1795,112.165
1796,112.165
1797,112.165
1798,112.165
1799,112.165
1800,112.165
1801,112.165
1802,112.165
1803,112.165
1804,112.165
1805,112.165
1806,112.165
1807,112.165
1808,112.165
1809,112.165
1810,112.165
1811,112.165
1812,112.165
1813,112.165
1814,112.165
1815,112.165
1816,112.165
1817,112.165
1818,112.165
1819,112.165
1820,112.165
1821,112.165
1822,112.165
1823,112.165
1824,112.165
1825,112.165
1826,112.165
1827,112.165
1828,112.165
1829,112.165
1830,112.165
1831,112.165
1832,112.165
1833,112.165
1834,112.165
1835,112.165
1836,112.165
1837,112.165
1838,112.165
1839,112.165
1840,112.165
1841,112.165
1842,112.165
1843,112.165
1844,112.165
1845,112.165
1846,112.165
1847,112.165
1848,112.165
1849,112.165
1850,112.165
1851,112.165
1852,112.165
1853,112.165
1854,112.165
1855,112.165
1856,112.165
1857,112.165
1858,112.165
1859,112.165
1860,112.165
1861,112.165
1862,112.165
1863,112.165
1864,112.165
1865,112.165
1866,112.165
1867,112.165
1868,112.165
1869,112.165
1870,112.165
1871,112.165
1872,112.165
1873,112.165
1874,112.165
1875,112.165
1876,112.165
1877,112.165
1878,112.165
1879,112.165
1880,112.165
1881,112.165
1882,112.165
1883,112.165
1884,112.165
1885,112.165
1886,112.165
1887,112.165
1888,112.165
1889,112.165
1890,112.165
1891,112.165
1892,112.165
1893,112.165
1894,112.165
1895,112.165
1896,112.165
1897,112.165
1898,112.165
1899,112.165
1900,112.165
1901,112.165
1902,112.165
1903,112.165
1904,112.165
1905,112.165
1906,112.165
1907,112.165
1908,112.165
1909,112.165
1910,112.165
1911,112.165
1912,112.165
1913,112.165
1914,112.165
1915,112.165
1916,112.165
1917,112.165
1918,112.165
1919,112.165
1920,112.165
1921,112.165
1922,112.165
1923,112.165
1924,112.165
1925,112.165
1926,112.165
1927,112.165
1928,112.165
1929,112.165
1930,112.165
1931,112.165
1932,112.165
1933,112.165
1934,112.165
1935,112.165
1936,112.165
1937,112.165
1938,112.165
1939,112.165
1940,112.165
1941,112.165
1942,112.165
1943,112.165
1944,112.165
1945,112.165
1946,112.165
1947,112.165
1948,112.165
1949,112.165
1950,112.165
1951,112.165
1952,112.165
1953,112.165
1954,112.165
1955,112.165
1956,112.165
1957,112.165
1958,112.165
1959,112.165
1960,112.165
1961,112.165
1962,112.165
1963,112.165
1964,112.165
1965,112.165
1966,112.165
1967,112.165
1968,112.165
1969,112.165
1970,112.165
1971,112.165
1972,112.165
1973,112.165
1974,112.165
1975,112.165
1976,112.165
1977,112.165
1978,112.165
1979,112.165
1980,112.165
1981,112.165
1982,112.165
1983,112.165
1984,112.165
1985,112.165
1986,112.165
1987,112.165
1988,112.165
1989,112.165
1990,112.165
1991,112.165
1992,112.165
1993,112.165
1994,112.165
1995,112.165
1996,112.165
1997,112.165
1998,112.165
1999,112.165
2000,112.165
2001,112.165
2002,112.165
2003,112.165
2004,112.165
2005,112.165
2006,112.165
2007,112.165
2008,112.165
2009,112.165
2010,112.165
2011,112.165
2012,112.165
2013,112.165
2014,112.165
2015,112.165
2016,112.165
2017,112.165
2018,112.165
2019,112.165
2020,112.165
2021,112.165
2022,112.165
2023,112.165
2024,112.165
2025,112.165
2026,112.165
2027,112.165
2028,112.165
2029,112.165
2030,112.165
2031,112.165
2032,112.165
2033,112.165
2034,112.165
2035,112.165
2036,112.165
2037,112.165
2038,112.165
2039,112.165
2040,112.165
2041,112.165
2042,112.165
2043,112.165
2044,112.165
2045,112.165
2046,112.165
2047,112.165
2048,112.165
2049,112.165
2050,112.165
2051,112.165
2052,112.165
2053,112.165
2054,112.165
2055,112.165
2056,112.165
2057,112.165
2058,112.165
2059,112.165
2060,112.165
2061,112.165
2062,112.165
2063,112.165
2064,112.165
2065,112.165
2066,112.165
2067,112.165
2068,112.165
2069,112.165
2070,112.165
2071,112.165
2072,112.165
2073,112.165
2074,112.165
2075,112.165
2076,112.165
2077,112.165
2078,112.165
2079,112.165
2080,112.165
2081,112.165
2082,112.165
2083,112.165
2084,112.165
2085,112.165
2086,112.165
2087,112.165
2088,112.165
2089,112.165
2090,112.165
2091,112.165
2092,112.165
2093,112.165
2094,112.165
2095,112.165
2096,112.165
2097,112.165
2098,112.165
2099,112.165
2100,112.165
2101,112.165
2102,112.165
2103,112.165
2104,112.165
2105,112.165
2106,112.165
2107,112.165
2108,112.165
2109,112.165
2110,112.165
2111,112.165
2112,112.165
2113,112.165
2114,112.165
2115,112.165
2116,112.165
2117,112.165
2118,112.165
2119,112.165
2120,112.165
2121,112.165
2122,112.165
2123,112.165
2124,112.165
2125,112.165
2126,112.165
2127,112.165
2128,112.165
2129,112.165
2130,112.165
2131,112.165
2132,112.165
2133,112.165
2134,112.165
2135,112.165
2136,112.165
2137,112.165
2138,112.165
2139,112.165
