,등락률(%)
540,1.26
541,1.26
542,1.26
543,1.26
544,1.26
545,1.26
546,1.26
547,1.26
548,1.26
549,1.26
550,1.26
551,1.26
552,1.26
553,1.26
554,1.26
555,1.26
556,1.26
557,1.26
558,1.26
559,1.26
560,1.26
561,1.26
562,1.26
563,1.26
564,1.26
565,1.26
566,1.26
567,1.26
568,1.26
569,1.26
570,1.26
571,1.26
572,1.26
573,1.26
574,1.26
575,1.26
576,1.26
577,1.26
578,1.26
579,1.26
580,1.26
581,1.26
582,1.26
583,1.26
584,1.26
585,1.26
586,1.26
587,1.26
588,1.26
589,1.26
590,1.26
591,1.26
592,1.26
593,1.26
594,1.26
595,1.26
596,1.26
597,1.26
598,-0.65
599,-0.65
600,-0.65
601,-0.65
602,-0.65
603,-0.65
604,-0.65
605,-0.65
606,-0.65
607,-0.65
608,-0.65
609,-0.65
610,-0.65
611,-0.65
612,-0.65
613,-0.65
614,-0.65
615,-0.65
616,-0.65
617,-0.65
618,-0.65
619,-0.65
620,-0.65
621,-0.65
622,-0.65
623,-0.65
624,-0.65
625,-0.65
626,-0.65
627,-0.65
628,-0.65
629,-0.65
630,-0.65
631,-0.65
632,-0.65
633,-0.65
634,-0.65
635,-0.65
636,-0.65
637,-0.65
638,-0.65
639,-0.65
640,-0.65
641,-0.65
642,-0.65
643,-0.65
644,-0.65
645,-0.65
646,-0.65
647,-0.65
648,-0.65
649,-0.65
650,-0.65
651,-0.65
652,-0.65
653,-0.65
654,-0.65
655,-0.65
656,-0.65
657,-0.65
658,-0.65
659,-0.65
660,-0.65
661,-0.65
662,-0.65
663,-0.65
664,-0.65
665,-0.65
666,-0.65
667,-0.65
668,-0.65
669,-0.65
670,-0.65
671,-0.65
672,-0.65
673,-0.65
674,-0.65
675,-0.65
676,-0.65
677,-0.65
678,-0.65
679,-0.65
680,-0.65
681,-0.65
682,-0.65
683,-0.65
684,-0.65
685,-0.65
686,-0.65
687,-0.65
688,-0.65
689,-0.65
690,-0.65
691,-0.65
692,-0.65
693,-0.65
694,1.68
695,1.68
696,1.68
697,1.68
698,1.68
699,1.68
700,1.68
701,1.68
702,1.68
703,1.68
704,1.68
705,1.68
706,1.68
707,1.68
708,1.68
709,1.68
710,1.68
711,1.68
712,1.68
713,1.68
714,1.68
715,1.68
716,1.68
717,1.68
718,1.68
719,1.68
720,1.68
721,1.68
722,1.68
723,1.68
724,1.68
725,1.68
726,1.68
727,1.68
728,1.68
729,1.68
730,1.68
731,1.68
732,1.68
733,1.68
734,1.68
735,1.68
736,1.68
737,1.68
738,1.68
739,1.68
740,1.68
741,1.68
742,1.68
743,1.68
744,1.68
745,1.68
746,1.68
747,1.68
748,1.68
749,1.68
750,1.68
751,1.68
752,1.68
753,1.68
754,1.68
755,1.68
756,1.68
757,1.68
758,1.68
759,1.68
760,1.68
761,1.68
762,1.68
763,1.68
764,1.68
765,1.68
766,1.68
767,1.68
768,1.68
769,1.68
770,1.68
771,1.68
772,1.68
773,1.68
774,1.68
775,1.68
776,0.53
777,0.53
778,0.53
779,0.53
780,0.53
781,0.53
782,0.53
783,0.53
784,0.53
785,0.53
786,0.53
787,0.53
788,0.53
789,0.53
790,0.53
791,0.53
792,0.53
793,0.53
794,0.53
795,0.53
796,0.53
797,0.53
798,0.53
799,0.53
800,0.53
801,0.53
802,0.53
803,0.53
804,0.53
805,0.53
806,0.53
807,0.53
808,0.53
809,0.53
810,0.53
811,0.53
812,0.53
813,0.53
814,0.53
815,0.53
816,0.53
817,0.53
818,0.53
819,0.53
820,0.53
821,0.53
822,0.53
823,0.53
824,0.53
825,0.53
826,0.53
827,0.53
828,0.53
829,0.53
830,0.53
831,0.53
832,0.53
833,0.53
834,0.53
835,0.53
836,0.53
837,0.53
838,0.53
839,0.53
840,0.53
841,0.53
842,0.53
843,0.53
844,0.53
845,0.53
846,0.53
847,0.53
848,0.53
849,0.53
850,0.53
851,0.53
852,0.53
853,0.53
854,0.53
855,0.53
856,0.53
857,0.53
858,0.53
859,0.53
860,0.53
861,0.53
862,0.53
863,0.53
864,0.53
865,0.53
866,0.53
867,0.53
868,0.44
869,0.44
870,0.44
871,0.44
872,0.44
873,0.44
874,0.44
875,0.44
876,0.44
877,0.44
878,0.44
879,0.44
880,0.44
881,0.44
882,0.44
883,0.44
884,0.44
885,0.44
886,0.44
887,0.44
888,0.44
889,0.44
890,0.44
891,0.44
892,0.44
893,0.44
894,0.44
895,0.44
896,0.44
897,0.44
898,0.44
899,0.44
900,0.44
901,0.44
902,0.44
903,0.44
904,0.44
905,0.44
906,0.44
907,0.44
908,0.44
909,0.44
910,0.44
911,0.44
912,0.44
913,0.44
914,0.44
915,0.44
916,0.44
917,0.44
918,0.44
919,0.44
920,0.44
921,0.44
922,0.44
923,0.44
924,0.44
925,0.44
926,0.44
927,0.44
928,0.44
929,0.44
930,0.44
931,0.44
932,0.44
933,0.44
934,0.44
935,0.44
936,0.44
937,0.44
938,0.44
939,0.44
940,0.44
941,0.44
942,0.44
943,0.44
944,0.44
945,0.44
946,0.44
947,0.44
948,0.44
949,0.44
950,0.44
951,0.44
952,0.44
953,0.44
954,0.44
955,0.44
956,0.44
957,0.44
958,0.44
959,0.44
960,0.44
961,0.44
962,0.44
963,0.44
964,0.44
965,0.44
966,0.44
967,0.44
968,0.44
969,0.44
970,0.44
971,0.44
972,0.44
973,0.44
974,0.44
975,0.44
976,0.44
977,0.44
978,0.44
979,0.44
980,0.44
981,0.44
982,0.44
983,0.44
984,0.44
985,0.44
986,0.44
987,0.44
988,0.44
989,0.44
990,0.44
991,0.44
992,0.44
993,0.44
994,0.44
995,0.44
996,0.44
997,0.44
998,0.44
999,0.44
1000,0.44
1001,0.44
1002,0.44
1003,0.44
1004,0.44
1005,0.44
1006,0.44
1007,0.44
1008,0.44
1009,0.44
1010,0.44
1011,0.44
1012,0.44
1013,0.44
1014,0.44
1015,0.44
1016,0.44
1017,0.44
1018,0.44
1019,0.44
1020,0.44
1021,0.44
1022,0.44
1023,0.44
1024,0.44
1025,0.44
1026,0.44
1027,0.44
1028,0.44
1029,0.44
1030,0.44
1031,0.44
1032,0.44
1033,0.44
1034,0.44
1035,0.44
1036,0.44
1037,0.44
1038,0.44
1039,0.44
1040,0.44
1041,0.44
1042,0.44
1043,0.44
1044,0.44
1045,0.44
1046,0.44
1047,0.44
1048,0.44
1049,0.44
1050,0.44
1051,0.44
1052,0.44
1053,0.44
1054,0.44
1055,0.44
1056,0.44
1057,0.44
1058,0.44
1059,0.44
1060,0.44
1061,0.44
1062,0.44
1063,0.44
1064,0.44
1065,0.44
1066,0.44
1067,0.44
1068,0.44
1069,0.44
1070,0.44
1071,0.44
1072,0.44
1073,0.44
1074,0.44
1075,0.44
1076,0.44
1077,0.44
1078,0.44
1079,0.44
1080,0.44
1081,0.44
1082,0.44
1083,0.44
1084,0.44
1085,0.44
1086,0.44
1087,0.44
1088,0.44
1089,0.44
1090,0.44
1091,0.44
1092,0.44
1093,0.44
1094,0.44
1095,0.44
1096,0.44
1097,0.44
1098,0.44
1099,0.44
1100,0.44
1101,0.44
1102,0.44
1103,0.44
1104,0.44
1105,0.44
1106,0.44
1107,0.44
1108,0.44
1109,0.44
1110,0.44
1111,0.44
1112,0.44
1113,0.44
1114,0.44
1115,0.44
1116,0.44
1117,0.44
1118,0.44
1119,0.44
1120,0.44
1121,0.44
1122,0.44
1123,0.44
1124,0.44
1125,0.44
1126,0.44
1127,0.44
1128,0.44
1129,0.44
1130,0.44
1131,0.44
1132,0.44
1133,0.44
1134,0.44
1135,0.44
1136,0.44
1137,0.44
1138,0.44
1139,0.44
1140,0.44
1141,0.44
1142,0.44
1143,0.44
1144,0.44
1145,0.44
1146,0.44
1147,0.44
1148,0.44
1149,0.44
1150,0.44
1151,0.44
1152,0.44
1153,0.44
1154,-0.47
1155,-0.47
1156,-0.47
1157,-0.47
1158,-0.47
1159,-0.47
1160,-0.47
1161,-0.47
1162,-0.47
1163,-0.47
1164,-0.47
1165,-0.47
1166,-0.47
1167,-0.47
1168,-0.47
1169,-0.47
1170,-0.47
1171,-0.47
1172,-0.47
1173,-0.47
1174,-0.47
1175,-0.47
1176,-0.47
1177,-0.47
1178,-0.47
1179,-0.47
1180,-0.47
1181,-0.47
1182,-0.47
1183,-0.47
1184,-0.47
1185,-0.47
1186,-0.47
1187,-0.47
1188,-0.47
1189,-0.47
1190,-0.47
1191,-0.47
1192,-0.47
1193,-0.47
1194,-0.47
1195,-0.47
1196,-0.47
1197,-0.47
1198,-0.47
1199,-0.47
1200,-0.47
1201,-0.47
1202,-0.47
1203,-0.47
1204,-0.47
1205,-0.47
1206,-0.47
1207,-0.47
1208,-0.47
1209,-0.47
1210,-0.47
1211,-0.47
1212,-0.47
1213,-0.47
1214,-0.47
1215,-0.47
1216,-0.47
1217,-0.47
1218,-0.47
1219,-0.47
1220,-0.47
1221,-0.47
1222,-0.47
1223,-0.47
1224,-0.47
1225,-0.47
1226,-0.47
1227,-0.47
1228,-0.47
1229,-0.47
1230,-0.47
1231,-0.47
1232,-0.47
1233,-0.47
1234,-0.47
1235,-0.47
1236,-0.47
1237,-0.47
1238,-0.47
1239,-0.47
1240,-0.47
1241,-0.47
1242,1.07
1243,1.07
1244,1.07
1245,1.07
1246,1.07
1247,1.07
1248,1.07
1249,1.07
1250,1.07
1251,1.07
1252,1.07
1253,1.07
1254,1.07
1255,1.07
1256,1.07
1257,1.07
1258,1.07
1259,1.07
1260,1.07
1261,1.07
1262,1.07
1263,1.07
1264,1.07
1265,1.07
1266,1.07
1267,1.07
1268,1.07
1269,1.07
1270,1.07
1271,1.07
1272,1.07
1273,1.07
1274,1.07
1275,1.07
1276,1.07
1277,1.07
1278,1.07
1279,1.07
1280,1.07
1281,1.07
1282,1.07
1283,1.07
1284,1.07
1285,1.07
1286,1.07
1287,1.07
1288,1.07
1289,1.07
1290,1.07
1291,1.07
1292,1.07
1293,1.07
1294,1.07
1295,1.07
1296,1.07
1297,1.07
1298,1.07
1299,1.07
1300,1.07
1301,1.07
1302,1.07
1303,1.07
1304,1.07
1305,1.07
1306,1.07
1307,1.07
1308,1.07
1309,1.07
1310,1.07
1311,1.07
1312,1.07
1313,1.07
1314,1.07
1315,1.07
1316,1.07
1317,1.07
1318,1.07
1319,1.07
1320,1.07
1321,1.07
1322,1.07
1323,1.07
1324,1.07
1325,1.07
1326,1.07
1327,1.07
1328,1.07
1329,1.07
1330,1.07
1331,1.07
1332,1.07
1333,1.07
1334,1.07
1335,1.07
1336,1.07
1337,1.07
1338,1.07
1339,1.07
1340,1.07
1341,1.07
1342,1.07
1343,1.07
1344,1.07
1345,1.07
1346,1.07
1347,1.07
1348,1.07
1349,1.07
1350,1.07
1351,1.07
1352,0.43
1353,0.43
1354,0.43
1355,0.43
1356,0.43
1357,0.43
1358,0.43
1359,0.43
1360,0.43
1361,0.43
1362,0.43
1363,0.43
1364,0.43
1365,0.43
1366,0.43
1367,0.43
1368,0.43
1369,0.43
1370,0.43
1371,0.43
1372,0.43
1373,0.43
1374,0.43
1375,0.43
1376,0.43
1377,0.43
1378,0.43
1379,0.43
1380,0.43
1381,0.43
1382,0.43
1383,0.43
1384,0.43
1385,0.43
1386,0.43
1387,0.43
1388,0.43
1389,0.43
1390,0.43
1391,0.43
1392,0.43
1393,0.43
1394,0.43
1395,0.43
1396,0.43
1397,0.43
1398,0.43
1399,0.43
1400,0.43
1401,0.43
1402,0.43
1403,0.43
1404,0.43
1405,0.43
1406,0.43
1407,0.43
1408,0.43
1409,0.43
1410,0.43
1411,0.43
1412,0.43
1413,0.43
1414,0.43
1415,0.43
1416,0.43
1417,0.43
1418,0.43
1419,0.43
1420,0.43
1421,0.43
1422,0.43
1423,0.43
1424,0.43
1425,0.43
1426,0.43
1427,0.43
1428,0.43
1429,0.43
1430,0.43
1431,0.43
1432,0.43
1433,0.43
1434,0.43
1435,0.43
1436,0.43
1437,0.43
1438,0.43
1439,0.43
1440,0.43
1441,0.43
1442,0.43
1443,0.43
1444,0.43
1445,-1.01
1446,-1.01
1447,-1.01
1448,-1.01
1449,-1.01
1450,-1.01
1451,-1.01
1452,-1.01
1453,-1.01
1454,-1.01
1455,-1.01
1456,-1.01
1457,-1.01
1458,-1.01
1459,-1.01
1460,-1.01
1461,-1.01
1462,-1.01
1463,-1.01
1464,-1.01
1465,-1.01
1466,-1.01
1467,-1.01
1468,-1.01
1469,-1.01
1470,-1.01
1471,-1.01
1472,-1.01
1473,-1.01
1474,-1.01
1475,-1.01
1476,-1.01
1477,-1.01
1478,-1.01
1479,-1.01
1480,-1.01
1481,-1.01
1482,-1.01
1483,-1.01
1484,-1.01
1485,-1.01
1486,-1.01
1487,-1.01
1488,-1.01
1489,-1.01
1490,-1.01
1491,-1.01
1492,-1.01
1493,-1.01
1494,-1.01
1495,-1.01
1496,-1.01
1497,-1.01
1498,-1.01
1499,-1.01
1500,-1.01
1501,-1.01
1502,-1.01
1503,-1.01
1504,-1.01
1505,-1.01
1506,-1.01
1507,-1.01
1508,-1.01
1509,-1.01
1510,-1.01
1511,-1.01
1512,-1.01
1513,-1.01
1514,-1.01
1515,-1.01
1516,-1.01
1517,-1.01
1518,-1.01
1519,-1.01
1520,-1.01
1521,-1.01
1522,-1.01
1523,-1.01
1524,-1.01
1525,-1.01
1526,-1.01
1527,-1.01
1528,-1.01
1529,-1.01
1530,1.46
1531,1.46
1532,1.46
1533,1.46
1534,1.46
1535,1.46
1536,1.46
1537,1.46
1538,1.46
1539,1.46
1540,1.46
1541,1.46
1542,1.46
1543,1.46
1544,1.46
1545,1.46
1546,1.46
1547,1.46
1548,1.46
1549,1.46
1550,1.46
1551,1.46
1552,1.46
1553,1.46
1554,1.46
1555,1.46
1556,1.46
1557,1.46
1558,1.46
1559,1.46
1560,1.46
1561,1.46
1562,1.46
1563,1.46
1564,1.46
1565,1.46
1566,1.46
1567,1.46
1568,1.46
1569,1.46
1570,1.46
1571,1.46
1572,1.46
1573,1.46
1574,1.46
1575,1.46
1576,1.46
1577,1.46
1578,1.46
1579,1.46
1580,1.46
1581,1.46
1582,1.46
1583,1.46
1584,1.46
1585,1.46
1586,1.46
1587,1.46
1588,1.46
1589,1.46
1590,1.46
1591,1.46
1592,1.46
1593,1.46
1594,1.46
1595,1.46
1596,1.46
1597,1.46
1598,1.46
1599,1.46
1600,1.46
1601,1.46
1602,1.46
1603,1.46
1604,1.46
1605,1.46
1606,1.46
1607,1.46
1608,1.46
1609,1.46
1610,1.46
1611,1.46
1612,1.46
1613,1.46
1614,1.46
1615,1.46
1616,1.46
1617,1.46
1618,1.46
1619,1.46
1620,1.46
1621,1.46
1622,1.46
1623,1.46
1624,1.46
1625,1.46
1626,1.46
1627,1.46
1628,1.46
1629,1.46
1630,1.46
1631,1.46
1632,1.46
1633,1.46
1634,1.46
1635,1.46
1636,1.46
1637,1.46
1638,1.46
1639,1.46
1640,1.46
1641,1.46
1642,1.46
1643,1.46
1644,1.46
1645,1.46
1646,1.46
1647,1.46
1648,1.46
1649,1.46
1650,1.46
1651,1.46
1652,1.46
1653,1.46
1654,1.46
1655,1.46
1656,1.46
1657,1.46
1658,1.46
1659,1.46
1660,1.46
1661,1.46
1662,1.46
1663,1.46
1664,1.46
1665,1.46
1666,1.46
1667,1.46
1668,1.46
1669,1.46
1670,1.46
1671,1.46
1672,1.46
1673,1.46
1674,1.46
1675,1.46
1676,1.46
1677,1.46
1678,1.46
1679,1.46
1680,1.46
1681,1.46
1682,1.46
1683,1.46
1684,1.46
1685,1.46
1686,1.46
1687,1.46
1688,1.46
1689,1.46
1690,1.46
1691,1.46
1692,1.46
1693,1.46
1694,1.46
1695,1.46
1696,1.46
1697,1.46
1698,1.46
1699,1.46
1700,1.46
1701,1.46
1702,1.46
1703,1.46
1704,1.46
1705,1.46
1706,1.46
1707,1.46
1708,1.46
1709,1.46
1710,1.46
1711,1.46
1712,1.46
1713,1.46
1714,1.46
1715,1.46
1716,1.46
1717,1.46
1718,1.46
1719,1.46
1720,1.46
1721,1.46
1722,1.46
1723,1.46
1724,1.46
1725,1.46
1726,1.46
1727,1.46
1728,1.46
1729,1.46
1730,1.46
1731,1.46
1732,1.46
1733,1.46
1734,1.46
1735,1.46
1736,1.46
1737,1.46
1738,1.46
1739,1.46
1740,1.46
1741,1.46
1742,1.46
1743,1.46
1744,1.46
1745,1.46
1746,1.46
1747,1.46
1748,1.46
1749,1.46
1750,1.46
1751,1.46
1752,1.46
1753,1.46
1754,1.46
1755,1.46
1756,1.46
1757,1.46
1758,1.46
1759,1.46
1760,1.46
1761,1.46
1762,1.46
1763,1.46
1764,1.46
1765,1.46
1766,1.46
1767,1.46
1768,1.46
1769,1.46
1770,1.46
1771,1.46
1772,1.46
1773,1.46
1774,1.46
1775,1.46
1776,1.46
1777,1.46
1778,1.46
1779,1.46
1780,1.46
1781,1.46
1782,1.46
1783,1.46
1784,1.46
1785,1.46
1786,1.46
1787,1.46
1788,1.46
1789,1.46
1790,1.46
1791,1.46
1792,1.46
1793,1.46
1794,1.46
1795,1.46
1796,1.46
1797,1.46
1798,1.46
1799,1.46
1800,1.46
1801,1.46
1802,1.46
1803,1.46
1804,1.46
1805,1.46
1806,1.46
1807,1.46
1808,1.46
1809,1.46
1810,1.46
1811,1.46
1812,1.46
1813,1.46
1814,1.46
1815,1.46
1816,1.46
1817,1.46
1818,1.46
1819,1.46
1820,1.46
1821,1.46
1822,1.46
1823,-0.1
1824,-0.1
1825,-0.1
1826,-0.1
1827,-0.1
1828,-0.1
1829,-0.1
1830,-0.1
1831,-0.1
1832,-0.1
1833,-0.1
1834,-0.1
1835,-0.1
1836,-0.1
1837,-0.1
1838,-0.1
1839,-0.1
1840,-0.1
1841,-0.1
1842,-0.1
1843,-0.1
1844,-0.1
1845,-0.1
1846,-0.1
1847,-0.1
1848,-0.1
1849,-0.1
1850,-0.1
1851,-0.1
1852,-0.1
1853,-0.1
1854,-0.1
1855,-0.1
1856,-0.1
1857,-0.1
1858,-0.1
1859,-0.1
1860,-0.1
1861,-0.1
1862,-0.1
1863,-0.1
1864,-0.1
1865,-0.1
1866,-0.1
1867,-0.1
1868,-0.1
1869,-0.1
1870,-0.1
1871,-0.1
1872,-0.1
1873,-0.1
1874,-0.1
1875,-0.1
1876,-0.1
1877,-0.1
1878,-0.1
1879,-0.1
1880,-0.1
1881,-0.1
1882,-0.1
1883,-0.1
1884,-0.1
1885,-0.1
1886,-0.1
1887,-0.1
1888,-0.1
1889,-0.1
1890,-0.1
1891,-0.1
1892,-0.1
1893,-0.1
1894,-0.1
1895,-0.1
1896,-0.1
1897,-0.1
1898,-0.1
1899,-0.1
1900,-0.1
1901,-0.1
1902,-0.1
1903,-0.15
1904,-0.15
1905,-0.15
1906,-0.15
1907,-0.15
1908,-0.15
1909,-0.15
1910,-0.15
1911,-0.15
1912,-0.15
1913,-0.15
1914,-0.15
1915,-0.15
1916,-0.15
1917,-0.15
1918,-0.15
1919,-0.15
1920,-0.15
1921,-0.15
1922,-0.15
1923,-0.15
1924,-0.15
1925,-0.15
1926,-0.15
1927,-0.15
1928,-0.15
1929,-0.15
1930,-0.15
1931,-0.15
1932,-0.15
1933,-0.15
1934,-0.15
1935,-0.15
1936,-0.15
1937,-0.15
1938,-0.15
1939,-0.15
1940,-0.15
1941,-0.15
1942,-0.15
1943,-0.15
1944,-0.15
1945,-0.15
1946,-0.15
1947,-0.15
1948,-0.15
1949,-0.15
1950,-0.15
1951,-0.15
1952,-0.15
1953,-0.15
1954,-0.15
1955,-0.15
1956,-0.15
1957,-0.15
1958,-0.15
1959,-0.15
1960,-0.15
1961,-0.15
1962,-0.15
1963,-0.15
1964,-0.15
1965,-0.15
1966,-0.15
1967,-0.15
1968,-0.15
1969,-0.15
1970,-0.15
1971,-0.15
1972,-0.15
1973,-0.15
1974,-0.15
1975,-0.15
1976,-0.15
1977,-0.15
1978,-0.15
1979,-0.15
1980,-0.15
1981,-0.15
1982,-0.15
1983,-0.15
1984,-0.15
1985,-0.15
1986,-0.15
1987,-0.15
1988,-0.15
1989,-0.15
1990,-0.15
1991,-0.15
1992,-0.15
1993,-0.15
1994,-0.15
1995,-0.15
1996,-0.15
1997,-0.15
1998,-0.15
1999,-0.15
2000,-0.15
2001,-0.15
2002,-0.15
2003,-0.15
2004,-0.15
2005,-0.15
2006,0.16
2007,0.16
2008,0.16
2009,0.16
2010,0.16
2011,0.16
2012,0.16
2013,0.16
2014,0.16
2015,0.16
2016,0.16
2017,0.16
2018,0.16
2019,0.16
2020,0.16
2021,0.16
2022,0.16
2023,0.16
2024,0.16
2025,0.16
2026,0.16
2027,0.16
2028,0.16
2029,0.16
2030,0.16
2031,0.16
2032,0.16
2033,0.16
2034,0.16
2035,0.16
2036,0.16
2037,0.16
2038,0.16
2039,0.16
2040,0.16
2041,0.16
2042,0.16
2043,0.16
2044,0.16
2045,0.16
2046,0.16
2047,0.16
